# 2025/04/21 - 16:16 | PDB: 16.25 | UniProt: 2025.02
SP_PRIMARY,PDB
A0A024L8R9,6yst;6ysu;6yss
A0A024QYS6,5gqf;5gqc;5gqg
A0A024S820,6i1t;6h7t;6i1q
A0A024SC78,4psd;4pse;4psc
A0A024UZE1,4z0f;4z09;5nqf;4z0d;4z0e
A0A024V0B1,4zx9;4zx8;4zy0;4zyq;5cbm;4zy1
A0A024V5I6,7z12;7z1h
A0A024X378,8k9s;8k9w;8k9v;8k9u;8k9x
A0A031LR83,7sbh
A0A031LXI5,6pt7
A0A031MKR8,8ait
A0A031WA69,9gb0;9gay;9gaz
A0A031WAQ9,9gb0;9gay;9gaz
A0A031WDA8,5eri
A0A031WDE4,6vxe
A0A031WFB8,8v3w
A0A031WFC4,8v3x;8v3z;8v3t;8v40;8v3w
A0A031WFY8,8v3w
A0A031WG99,8vpg;8vpi;8vph
A0A031WIF2,7l00
A0A034W4L8,6djw;6djx
A0A037Y8L6,9cg7;9njf;8uqm;9nle;9nlh;8ury;8urh;8uri;9nl5;8uqp;6lkq;8ur0;7cpj;9cg5;8upo;9cg6;9ax7;8upr;8uql;8urx;9ax8;9nlb
A0A037YMJ1,7jz6
A0A037YQ84,6s0k
A0A045IPA0,9ijb
A0A051TYQ1,6ihg
A0A059PIQ0,7a7m;7a7o;7a87;7a8n;5bt0;5btt;5mfc;7a8g;7a8h;5yr2;7v85;7v87;7v89;7a7q;7a84;5dy6;7a80;7a83;7v84;5wwk;7v7z;7v83;7v88;7a8c;7v8a;7a8b;7a7x;7a81;7a8e;4zf3;7a7r;7a7v;7a85;7a88;7a8k;7v80;7v81;7a8o;7a7p;7a7z;7a89;7a8d;4xgy;7a7s;7a7w;7a8j;7a82;7v8b;8ubg;7a7y;7a8l;7e53;7a8m;7v82;7a7n;7a7t;7a7u;7a86;7a8a;7v86;6h01;7a8f;7a8i
A0A059PIR9,7ugr;7ugt;7ugs;6l02;5yr3
A0A059PY24,9k3a
A0A059PY25,9k09
A0A059PY26,9jwb
A0A059PY41,9k09
A0A059PY42,9k2v
A0A059PY91,9k2v
A0A059PY92,9jwb
A0A059PYA7,9jwb
A0A059PYA9,9k09;9k2v
A0A059PYE1,9k3a
A0A059PYE2,9k09
A0A059Q1L6,7ksn
A0A059Q5E8,5iqk
A0A059Q6U2,5zji
A0A059QA82,6mjz;8tqk
A0A059QC28,9b2w;9dzq
A0A059STC4,7ksc
A0A059T4A1,5tgo;9bu6;4qy0;5thb;9bu8;5tgv;5th0;5th1;6wf1;4qy1;4xqo;5tgu;4qy2;5thc;4xq5;4xqu
A0A059T9V1,8tgt
A0A059TC02,4r1t;4r1s
A0A059TFW7,2n30;2n1c
A0A059TXD8,5m99
A0A059U759,4pva;4pvi
A0A059VAZ3,7fiz;7yux;7fid;7ypk;7yuu;6wqh;5e7s;7ypi;7yph;4ypl;7yut;7fd4;7yup;7yum;4ypm;4ypn;8k3y;7cr9;7yuw;7ypj;7cra;7fd5;7yuv;7fie;7yuh
A0A059VBQ9,5yt9;5yt8;5ykc;6ijt;6in5;6iig;6kcj
A0A059VJE6,7mc9;6w81
A0A059WF38,7ccg
A0A059WLS9,7ewx;7ewz;7ex3;7ex9;7ex7;7ex8;7ewu;7ex4;7ewv;7ex6;7ex2;7eww;7ex0;7ex1;7ewy
A0A059WV44,5hmn
A0A059WYP6,5tue;5tuf;5tui
A0A059WZ16,5f46;5u08;5f49;5f48;5f47
A0A059X981,6mmz;7kes;6mn2;5ht0;6mn1;6mn0
A0A059ZFC5,6jnh;6j3m;6jog
A0A059ZJE9,9aux;9auw
A0A059ZPG7,5vpu
A0A059ZPP5,6y8j;6y9d;6y8s;6zgp
A0A059ZRB8,7re4;7rea;7red
A0A059ZTK9,9iim;8zoz;8zn4;9ij6;8zn1;9iil
A0A060BIS8,6s9j
A0A060BKX4,7eah;7c9x;8gse;7eai;8gsd;8gsf;7eak;8gsc
A0A060D9Z7,6dhi
A0A060GPP4,4pbe
A0A060GPQ0,4xag
A0A060GPQ5,4xd3
A0A060GSW0,4pcn
A0A060GSW5,4xd5
A0A060GSX0,6bhl;4xd4
A0A060GTM0,4pbf
A0A060GTM7,4xay
A0A060GYS1,4pcp;5wms;5wiz;5wcr;6b2f
A0A060GYS7,8uqw;8uqy;8uqz;6bh7;8uqx;6bhk;4xaz
A0A060GZX0,5wj0;4xaf;5wcw;5wcp
A0A060GZX7,4xd6
A0A060H1D7,6aoa;6aob;6ao9
A0A060H7L8,5w8y
A0A060IEP4,8qtz;8ole
A0A060IEQ1,8olc;8olb
A0A060M4R1,7ev5
A0A060N399,7cy3;7cy9
A0A060NBN8,6bx1
A0A060P168,4yor;4you;4yox;4yow;4yot;4yoy;4yov
A0A060SC37,6xuu;6xuv;6xut
A0A060TAG5,7kd9;6w54
A0A060VGH4,8k7n
A0A060VJP5,8hcn
A0A060XYS9,6urs
A0A060Y6X8,5f1s
A0A060ZAA1,5unk
A0A061ACU2,4pke;4pkx
A0A061BJP9,7ypd
A0A061FLD4,6cth
A0A061I3X8,7nwi;7nwg;7nwh
A0A061IH64,5mhi
A0A061J677,7ase
A0A061LQM0,6ba8;6ba9
A0A062C259,6v3a;6v3e;6v3b;6v39
A0A062C3F9,6v3a;6v3b;6v39
A0A062UZ78,6bxm;6bxo;6bxn
A0A062V290,6u45;6u44;6u43
A0A062WLD9,5jj5
A0A063Y6V3,6hns
A0A064C3N8,8tx9
A0A066Q637,6nva
A0A066QL39,8qjz;8qk9
A0A066QLB1,7byy
A0A066R7V5,2ru9
A0A066T6R7,7qym
A0A066TYR3,7p22
A0A066ZR71,5y34
A0A067DRZ4,7uwb;7uwa;7uwc;7uw9;7uwd
A0A067E4V9,7uw9;7uwc;7uwa;7uwb
A0A067E666,8ay7;5mmx;6zuc;7avw;8aya;8ay8;8ay3;5mn0;5mmq;8ay9;8ay6
A0A067F7P5,7uwd;7uwa;7uw9;7uwb;7uwc
A0A067FFQ8,7uw9;7uwc;7uwa;7uwb;7uwd
A0A067FXK2,7uwb;7uwa;7uw9;7uwd;7uwc
A0A067G267,7uwd;7uwc;7uwb;7uw9
A0A067HWN0,4wxt
A0A067N4E7,6fsk;6fsl
A0A067NAT9,8pha
A0A067SLB9,5n4e;5n4b;5n4c;5n4d
A0A067XG63,4brz
A0A067XG64,4c1o;4c1p
A0A067XG66,4c6h
A0A067XG67,4l0k
A0A067XG68,4l1e
A0A067XG69,4l1e
A0A067XG70,4l2j
A0A067XG71,4l8q
A0A067XG72,4lmv
A0A067XG73,4lmw
A0A067XG75,4n58;4n59
A0A067XIQ6,9gkw;9gkx
A0A067XP68,7t7u
A0A067XP72,7t7u
A0A067XP78,7t7u
A0A067XP79,7t89;7s97;7s96
A0A067XP89,7t89;7s96;7s97
A0A067Y6L0,8ut9;8ut8;6wxl
A0A067Y7N7,4mx0;4mwx;4mww;4mwl;4mwy
A0A067YRY3,7tja;7tlf
A0A067YS87,7tlf;7tja
A0A067YX61,5iqu;5j4r;5t22;5trq;5iqv;5iqt;5iqs
A0A067YZ73,5bqy
A0A067YZV9,5bqz;5bny
A0A067Z050,5bqy
A0A068A5A2,6d9t
A0A068B409,7edk
A0A068B6Q6,2nay
A0A068B7P9,8axg
A0A068C8U8,6jik;5zvp
A0A068EGP0,9bkq;9ciw
A0A068EP60,6yf7
A0A068F6N5,4pem;4pel
A0A068FT77,6jxg
A0A068J419,6uye;6pci
A0A068JLL8,6uan
A0A068N1Y0,8ip0;8h7q;8h67
A0A068N458,8h67;8ip0;8h7q
A0A068N621,7lgj;7lg5;7lgq;7txu;7txv
A0A068N831,8h67;8h7q;8ip0
A0A068PC91,8jt4;5y33;8jsd
A0A068PS59,6k0q;6k0n;6k0v;6k0p;6k0m;6k0u;6k0s
A0A068Q5Q5,7w1c;7w1e;7w1d
A0A068QT41,8rdl
A0A068QVX9,6qsp
A0A068QW34,6qsr
A0A068QWX2,6qsr
A0A068QZ94,6qsp
A0A068QZX9,7q6g
A0A069A478,9gb4;9gb7;9gb3;9gb5
A0A069A654,8xt8;8xta;8xu0
A0A069AE46,8v3w;8v43;8v41
A0A069AL86,6i3g
A0A069AXA0,6yl7
A0A069B2G5,5l03
A0A069BB45,8tcc
A0A069BCC8,8jto
A0A069CUU9,8c8g;6rim
A0A069CVS9,8c8g
A0A069DFV9,9lub;9luc;9lu9
A0A069PXX1,6spc;6spf;6spe;6spg
A0A069Q0R8,9bk4;9bjw;9bjv;9bkh;9bk8
A0A069Q263,6spc;6spg;6spf;6spe
A0A069Q6I8,7pji
A0A069Q726,7okb
A0A069Q7L2,8khg
A0A069Q9V4,7prg
A0A069QB25,6spd;6spf;6spb;6spg
A0A069QBX1,8i6q
A0A069QC44,6spg;6spf;6spb;6spd
A0A069QC99,6spc;6spg;6spf;6spe
A0A069QEB6,6spd;6spg;6spb;6spf
A0A069QEE3,6spd;6spg;6spb;6spf
A0A069QEY1,7e6g
A0A071KWR3,8k3b
A0A071L356,6spf;6spg;6spd;6spb
A0A071L394,6spc;6spg;6spf;6spe
A0A071L3R7,6spg;6spf;6spe;6spc
A0A071LDC0,6jfe;6jff;6jfc;6jfn;6jfd;6jfa;6jf9
A0A071LFT4,6spf;6spb;6spd;6spg
A0A072FVI7,8xjg
A0A072PAD1,8jlv
A0A072TMB0,6mt2;6mt1
A0A072U2X9,7bgm;7bgn
A0A072U7F9,8bj4;8bj3;8bj1;8bj2
A0A072UMR6,8e83
A0A072VQG6,8qay;8qav;8qaw;8qax;7oj5
A0A072ZBM5,6spd;6spg;6spb;6spf
A0A072ZBZ2,6spf;6spg;6spd;6spb
A0A072ZCA1,6spb;6spf;6spg;6spd
A0A072ZCW8,6qlj;6qlh;6qlk;6qlv;6qli;6qll
A0A072ZDF7,6spc;6spg;6spf;6spe
A0A072ZDZ0,6spg;6spd;6spf;6spb
A0A072ZDZ9,6spg;6spe;6spc;6spf
A0A072ZG76,8i6q
A0A072ZHB4,7e6g
A0A072ZHL9,8wcn
A0A072ZIQ9,6spb;6spf;6spg;6spd
A0A072ZIR4,8cib
A0A072ZJG4,6spg;6spd;6spb;6spf
A0A072ZKF0,6spf;6spg;6spb;6spd
A0A072ZMU2,6spd;6spf;6spg;6spb
A0A072ZNL3,8eif;8ecp;8ecx
A0A072ZPM2,5gmc;5gmb;5gm8
A0A072ZPV8,6spe;6spc;6spg;6spf
A0A074MDU6,6kf7;7cih;6kf1;7cip;7ci0;6kf5;7w8n;6keu
A0A074W9U7,6uba;6ub8;6ubb
A0A074Z863,5zga;5zg4;5zfx;5zg5
A0A075B5G0,3wtg
A0A075B5G2,4lm6
A0A075B5G3,4ov6
A0A075B5G4,4oyl;4oyy
A0A075B5G5,4p99
A0A075B5G8,4plc;4plf;4plg
A0A075B5H0,4plt;4plv;4ply
A0A075B5H2,4plw;4plh
A0A075B5H4,4tkl;4tkm
A0A075B5H6,4uoj;4cvu
A0A075B5K0,8zd6;8zd5
A0A075B5S3,8zd6;8zd5
A0A075B6C4,7n5c;3pqy;7n5p;7n4k
A0A075B6N1,5hhm;5nqk;5hho
A0A075B6T6,8rlu;1ao7;5e9d;8rlt;8rlv;5nht;6dkp;4zdh
A0A075B6U7,7ndq;7ndu
A0A075BSX9,6cr0
A0A075C6T6,4nrr;4nrs
A0A075DN54,4z14;4z10;4z11;4z13;4z12;4z0z;4z0y
A0A075E2Q1,5weg
A0A075E3D7,6b7n
A0A075ECV2,7f0u
A0A075ETL7,6n6b
A0A075EV12,6wzt
A0A075LPR4,8qak
A0A075LQ94,8uce;8uch;8ucf;8uci;8ucg
A0A075ML49,5wpn
A0A075Q0W3,8f67;6mka;6mkg;6mkf;6mkj
A0A075QAW4,8x97;8ytj;8x96;8x95;8ytb
A0A075R4X6,6lwy
A0A075TRK9,8bxl
A0A075W2R1,9kc5
A0A075WKW4,8ok9;8old;8olj;8qg0;8pvv
A0A075X7C6,8aut;8acv
A0A075X7F9,6gem
A0A076EAP1,8bd3
A0A076EAR3,8bd3
A0A076FT28,6qi5
A0A076FT36,6qi5
A0A076FYU8,6qi5
A0A076FYV2,6qi5
A0A076FYV7,6qi5
A0A076G8X7,8ume
A0A076JB57,5f4j
A0A076JEK1,7zqi;7zqj
A0A076L2E2,8b2l;8auv
A0A076ML24,6dk2
A0A076MPD7,4yhe;4yhg
A0A076MY51,5omu;5ncb
A0A076MZ01,5ogx
A0A076N502,7k1s
A0A076NBW8,5z54;5wpp;6al7;6al6;6al8;5wpr;5wps;5wpu;5yvl
A0A076PYH9,7x2y;7x1x;7wzd
A0A076U926,5jx5;6idw
A0A076V769,6jim
A0A076V8I4,8c6v
A0A076YHT9,7dab
A0A076YIY5,5gzw
A0A076YWK5,6zz9;6zza
A0A077D153,7o9s;8zgu;5opg;7nks;7nrh
A0A077E909,6b1z
A0A077E919,5viu
A0A077EA44,7n7s
A0A077EAN3,6auj
A0A077EBQ3,6wng
A0A077EBU6,6n0w
A0A077ECF2,6an0
A0A077EDR1,6d9n
A0A077EDS4,6aph
A0A077EEP0,6bn2
A0A077EER2,6mtk
A0A077EEZ5,6phe
A0A077EFA5,6cy1;6cy5
A0A077EGR8,6n7l
A0A077EHW1,8dt6
A0A077EJ65,6ude
A0A077EJG6,6ojm
A0A077EJK0,6udg
A0A077EJP9,7miw
A0A077ELH2,8du1
A0A077ELH4,6uzi
A0A077EMQ8,5vpr
A0A077ENB9,6c46
A0A077EQ93,6bzc;6bzb
A0A077EWA5,8xe5;8xe4;8xe3;8z8r;8zfw;8z8s;8z8o;8z8p;8z8t;8uke
A0A077GFB1,7krk;7krm
A0A077GKT8,7yxv
A0A077JBW9,5hrm;5ioj
A0A077JG85,6lta;6ltb;6ltc;6ltd
A0A077JI83,6lgi;6lga;6lgb;6lgc;6lge;6lgd;6lgh;6lgg;6lgf
A0A077K7L1,5gm2;5gm1
A0A077K887,4yzk;4yzj;4yzl
A0A077KEB8,6j84;6j83;8jrl;6j82
A0A077KPD5,8yk5
A0A077KT11,5jjq
A0A077KT80,6bpf;6bn3
A0A077KUW8,6akd
A0A077L6X8,5xf9;5xfa
A0A077L7R5,5xfa;5xf9
A0A077L885,5xfa;5xf9
A0A077LAI5,5xfa;5xf9
A0A077LQB4,4yy8
A0A077RZD1,8ipb;8ip9;8ip8;8ipa
A0A077TLQ4,6zyv
A0A077UDU1,5ngm
A0A077UG91,7asp;5t7v;6s13;6s0x;6s0z;6s12;7aso;7p48;5ngm
A0A077UGA7,7p48;5t7v;6s0z;6s12;6s0x;7aso;6s13;7asp;5ngm
A0A077UGV8,5t7v;6s12;7aso;6s0z;6s0x;7asp;5ngm;6s13;6fxc;7p48
A0A077UGW7,7aso;7asp;5ngm;6s13;6s0x;7p48
A0A077UHS1,5ngm
A0A077UKD6,7asp;5ngm;6s13;7p48;6s0x;5t7v;7aso
A0A077UKF9,6s0x;7p48;6s12;5t7v;6s0z;5ngm;6s13
A0A077UL47,7asp;6s12;7p48;5t7v;6s0x;6s0z;6s13;5ngm
A0A077ULC5,6s0x;6s13;6s0z;6s12;7asp;7aso
A0A077URJ8,6s13;5ngm;6s0z;7aso;6s0x;7p48;5t7v;7asp;6s12
A0A077UU26,7asp;7aso;5ngm;7p48;6s0x;6s13
A0A077UUA0,6s12;7p48;7asp;5t7v;6s13;6s0x;5ngm;6s0z;7aso
A0A077UVB6,6s12;6s0x;7p48;6s13;7asp;5t7v;6s0z;5ngm
A0A077UWR7,5ngm
A0A077UXT4,5t7v
A0A077UZF4,7aso;7p48;6s0x;7asp;5ngm;6s13
A0A077V0P8,7aso;5ngm
A0A077V2P0,6s0z;5ngm;7asp;6s13;7p48;6s12;6fxc;6s0x;7aso
A0A077V4G0,7p48;7aso;6s0z;5t7v;6s12;6s0x;5ngm;7asp;6s13
A0A077VHU6,6s0x;7asp;5ngm;6fxc;7p48;6s13;7aso
A0A077VLD5,6s13;5ngm;7aso;6s0x;5t7v;7p48;7asp
A0A077VMP6,6s0x;7asp;6s13;7p48;5ngm;6s12;5t7v;6s0z;7aso
A0A077W1J0,5ngm
A0A077W1J5,6s0x;5t7v;7asp;6s13;6s0z;6s12;7aso
A0A077WSJ1,9drz
A0A078GRH6,6hmz
A0A078K1U6,4rmp
A0A078K4M9,4rmp
A0A078L5T0,8twf
A0A078MGG8,8ais
A0A078N0N2,2mmv
A0A078SSU5,6d1p
A0A078SUX9,6d50;6d8g;5uj6
A0A080WMA9,4zic;4zhs
A0A081CEG8,5knl
A0A081GU02,6gie
A0A081GYS3,7v0f
A0A081HJP9,7v8t
A0A081KBI6,8xuj
A0A081LSX6,8ji9
A0A081TQ32,8gra;7yw0
A0A081TVR9,6uss
A0A084EX36,8w7u;8w73;8w6s;8w6q;8wqx;8wqy;8wpt;8w7b;8w6m;8w79;8wqu;8w7v;8w74;8wqv;8w7t;8w6y;8w7o;8w7q;8w6u;8wr0;8wpv
A0A084FYP2,6trv
A0A084JZF2,6d3u;6d2c
A0A084QTE3,8x0u;8x0v
A0A085BE66,8hy8;8hwj
A0A085CCI2,7tfc
A0A085GHR3,8hoe;6pwd;6pwg
A0A085LU44,6g9e;6g9c
A0A085NCI8,8qk1
A0A085NFU1,6v4m
A0A085R2T8,7qxm;8a3v
A0A085R4L6,8tzl
A0A085SLP2,8i5k;8i5j
A0A086HZU3,7d0a;7d09;7d06;6ic4;7d08
A0A086IRG1,8r37
A0A086RSH0,8jfn;8jfj;8jfm
A0A086SLX8,5cxk
A0A086SY89,5mrj
A0A086T6R4,5m2d
A0A087D8U9,7v6i
A0A087I947,5x0q;5b70;5b7h;5b7d;5x0v
A0A087IWB4,5x0n;5fhk;5x0o
A0A087KD84,6a7i
A0A087L9L7,6spf;6spd;6spb;6spg
A0A087LGV4,6tpq;6z2b;6tgj
A0A087VZV0,8joh
A0A087WNH1,3wfl
A0A087WNH2,4cuo
A0A087WNH4,8p2k;7sys;8q87;8rjc;6r6g;7a01;6r7q;7syx;9f1b;8btk;7syh;7nwg;7syv;7syj;7mdz;6t59;6yal;6yam;5lzu;8b6c;7syq;7tor;7nwh;3jah;6sgc;6yan;7o80;6p5k;8b5l;7tm3;7zjx;7syt;8rjd;8q7z;6ftj;6p5i;8bhf;7syo;7syu;7syl;9bdl;8bpo;8scb;7ucj;9bdn;7qwq;6p4g;6r5q;6zvk;6p5j;6p5n;7syr;7syw;7o81;7qwr;8rjb;9f1c;8p03;7oyd;7zjw;8p09;9f1d;3jai;6p4h;6ftg;7nfx;6r6p;7tut;7syg;7syp;7uck;3jag;7obr;7qws;9bdp;6fti;7o7y;7o7z;7sym;7syn;7syi;7syk;8vft;7nwi
A0A087WNH6,5m66;4lvc;5m67;5m5k;6exi;5m65
A0A087WNH8,4p15
A0A087WRI3,8i7o;8iyj;8i7r
A0A087WSZ9,5wkh;5wkf
A0A087WT01,5hhm;5hho
A0A087WT03,5wki;7ndt
A0A087X096,7ndt
A0A087X2I1,7w3f;7w3j;7w39;7w37;7w3c;7w3g;7w3m;7w38;7w3a;7w3k;6wjd;7w3i;7w3b;7w3h
A0A088BCU2,5xd0
A0A088BEK2,6idd
A0A088CB91,4rnc
A0A088DBJ8,8k56;8k51
A0A088DIE1,8ppk
A0A088E2H7,6ihd;6ihe
A0A088FL33,7v45;7v43;7v40;7v41;7v44;7v46;7v42
A0A088FLK9,6fhg
A0A088S9A7,8ulk;8ulj
A0A088STQ5,4po4
A0A088T0J9,4zzu;4zzv;4zzw;5amp;4zzt
A0A089M3R3,6p2n
A0A089YV40,9az1
A0A090A233,6ox6
A0A090BWT0,5h4s
A0A090BZT4,9ax8;6lkq
A0A090CRQ5,4y6w;4y6c
A0A090F1W4,6wns
A0A090IW71,8yye
A0A090KI56,4r4x;4r4z
A0A090KS30,7azu;6ztu;6zu3
A0A090LYE8,7yca;8hg5
A0A090M1L8,7yca
A0A090M4C4,7u6o
A0A090M7B0,7yca
A0A090N3J0,7yca
A0A090T8V4,8xbc;8xbb;8xba
A0A090T942,7q6i;7q6f
A0A091SV96,5lus
A0A093VKV7,6j6f;5fb7;5csd
A0A094NJQ6,6pjx
A0A094YZ24,5yo8;6lop;6loo
A0A094ZWQ2,6b54;6uuy;6b53;5tiv;6b52;5tix;6b51;5tiy;5tiw
A0A095T5Z8,7lgn
A0A096F4H2,6uvu
A0A096LNF0,4mkr;4we3;4wgg;4nh4
A0A096LNF1,4w7i
A0A096P8D3,6ixn;6ixl;6ixt;7e2w
A0A096P8E8,7yca
A0A096P9N0,7yca
A0A096PAU9,7yca
A0A096PB86,7yca
A0A096SRM5,6lf6;8cgq
A0A096YGU7,6j5f
A0A096ZH83,8f70;6n0a;8f5n
A0A096ZHB0,6bbw
A0A097ATG3,8bew;8a6t
A0A097ATG4,8a6t;8bew
A0A097ATH7,7qv7
A0A097ATI0,8bew;8a6t
A0A097ATJ9,7qv7
A0A097ATK5,7qv7
A0A097ATK6,7qv7
A0A097BVP4,7v98;7v9r
A0A097BW12,7tah;9b1b;6crp;7ebz;9b19;6cs6;7l8h;6mzi;9b18;7taf;6wds;6crs;6cru;6cs4;7ebr;6csh;7ec5;7ecy;9b1a;6crr;8fl5;6cs3;6cs5;6csa;6wdt;7tag;7taj;6csg;7t9p
A0A097BW17,9mwz;9mxc
A0A097BW19,7lw2;7mg0
A0A097C0M3,7y57;7y56
A0A097F4I8,7ela;7ckl
A0A097F4L1,7ckl;6klc;7ela
A0A097F8N9,6x2k
A0A097F8Q2,6aj3;6aj2;6aj0;6aj9;6aj7
A0A097I267,7yjl
A0A097I2B5,7lv8;7n8n
A0A097I2D0,7n8n
A0A097J792,5x33
A0A097J809,6e67;6ni3;7kwa
A0A097NU67,7xpn
A0A097NZ77,8pag
A0A097P1P8,6vvg
A0A097P6E1,6kv2
A0A097PBL3,7dr2
A0A097PF39,4o5n
A0A097PHH8,5v2a;6fyu
A0A097PIE2,5k5m
A0A097PIK3,6bwx
A0A097PIM0,9cws;9cv0;9cuz;9cv9
A0A097PUG4,6mv5;6e4y;6e4z
A0A097ZPD5,5zm2;5zm4;7wpy;5zm3
A0A098BU97,7wbc
A0A098DND1,6yjo
A0A098SKQ8,6jf5;6jf4
A0A0A0BZU2,6qzo
A0A0A0EFB9,9mua;9mup
A0A0A0L4Q9,6wqj
A0A0A0MRG9,9g3z;9g3y
A0A0A0N2P0,8jzf;8jze
A0A0A0N2S9,8jze;8jzf
A0A0A0NH71,6p2o
A0A0A0NSZ7,6l3a;6l39
A0A0A0Q2K8,8z6p;8z78;8jcs
A0A0A0Q7Z8,6lc9;6lc8;6lc7
A0A0A0QA66,4rvp
A0A0A0R5X6,4rg8
A0A0A0RCB5,6a2c;6a2d;6a2a
A0A0A0RDR2,7e6w;6k16;7e9r;6a1d;6a1i;6a1e;6o9p;6o9q;6a3x
A0A0A0U7Z7,6djy
A0A0A0U955,6djy
A0A0A0UEE5,6djy
A0A0A0UVH9,6omq;6omp;6omr
A0A0A0UVL0,5f1p
A0A0A0V023,5unc
A0A0A0V031,5ups;5upq;5e7q;5upt
A0A0A0V2B6,2ndn
A0A0A0V633,5fzx
A0A0A0V662,5fzv
A0A0A0VBR5,5fzw
A0A0A0VBX4,4x9z
A0A0A0VDJ9,5epd
A0A0A0WDC6,6ket
A0A0A0Y4H8,4usc
A0A0A0YMQ9,5ah0
A0A0A1A394,7qvr
A0A0A1E3R5,7ype;7ypf
A0A0A1EQY0,8ivj;6d4c;8hty;8iq7;6d4b;5dna;5dn9
A0A0A1GL90,6lcf;6lce
A0A0A1GYE8,8glv;7ju4
A0A0A1H1F6,7ju4;8glv
A0A0A1HA03,6llw;6llg;7cyw;6llz
A0A0A1I7H6,6ati;6atf;6atz
A0A0A1NDE2,5xxa
A0A0A1VBK6,4yf9;4yfa;8so5;5c9i;4yfb
A0A0A2ACP7,6rce;6rar;6rau;6ras
A0A0A2J6G6,9aza;8dl5;9azb
A0A0A2K0J0,7zvh;7zut;7ztf;7zw2;7ztj
A0A0A2N3A3,8iqa;8il8
A0A0A2XCD7,8g3h
A0A0A3XYM8,7kym
A0A0A5P8W7,6egr;5e4z;5m3z;5k30;6s0c;5d5s
A0A0A6YVN3,3wvq;3wvr
